nombre_chambre,superficie,adresse,prix,image_lien
2.0,0.0,Diamniadio                                                                                Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e00969f81fee0c2fd238ed49d544832/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q78w0k6z/229f94436124824dc1f4c85c9b293b5f78acdf05.jpg
1.0,0.0,Mermoz                                                                                Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dfd05e5f024881487dd8badb571a001/-/horizon-files-prod/ed/picture/qwep6dpz/69a45b4884521bea62c3417e9908a2f5c6cd0b70.jpg
3.0,200.0,Point-e                                                                                Dakar,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24b3ba4470b738975be82eb75707d728/-/horizon-files-prod/ed/picture/q78w684x/73ef9fb3af1072a0a63a4617a6234913494b7f0c.jpg
1.0,100.0,Liberte 6                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c82e53b2090b3bd171f17d0ade3203e/-/horizon-files-prod/ed/picture/q9644z7/c48f1e7142af0a92a31474661668f80adac21346.jpg
0.0,0.0,Yoff                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2976f2b65106189d34c134df439ecb5/-/horizon-files-prod/ed/picture/qm5g9zrm/46d68135197cbb58482f5b25b6dc7490a411b442.jpg
1.0,0.0,Almadies                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0d73181e1db186261bd07270b819f40/-/horizon-files-prod/ed/picture/q0gwq7rz/ddf6e4981184e00116ebe7ada43dbc12b0f292ba.jpg
0.0,0.0,Yoff                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4ff182b0d2a5062e3998d286f74dc1c/-/horizon-files-prod/ed/picture/q8v4xj06/6249a550073c8a03135ee8f2318426ae50f26813.jpg
0.0,0.0,Ouakam                                                                                Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/118ca525b0f5f023e87daf6d6b2395f3/-/horizon-files-prod/ed/picture/q0md5nz/afcfeacc1d11c54f0f1a886a793bbb1f47117fde.jpg
0.0,0.0,Ngor                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89775a21acc0fc697efefa06c1fc39f1/-/horizon-files-prod/ed/picture/qxj2zk0m/2841ea0e4abecb97a48f08844f01f330e5128c90.jpg
1.0,25.0,Yoff                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/25fec8ed3bb3bff916f80c51360461ad/-/horizon-files-prod/ed/picture/q44n9nx4/6bfbb027d23f66e194f1873a45e590cfdd80bce7.jpg
2.0,125.0,Liberte 6 extension                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/110ba84e22a7685cc05050abaab1bd13/-/horizon-files-prod/ed/picture/qdeewvwg/e6dc813d04a654757b91ef22c6e853a860f98c38.jpg
1.0,48.0,Liberte 6 extension                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28e582c2849e2d8b1a806b55c3ec79bf/-/horizon-files-prod/ed/picture/q78wr0rn/96c30a3d54e88b2b503c2953d86601286234bcdd.jpg
1.0,70.0,Point-e                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62f7f59470b47ba33971a2ee75ac3e6a/-/horizon-files-prod/ed/picture/q56wjdk6/b87ee92b15a94c7986576ccfc8d26611daba3c67.jpg
2.0,0.0,Yoff                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d9f5e4185f8ce608948d1d755bdea7b/-/horizon-files-prod/ed/picture/migrated/qn7jk4m/2293da9bb74dfd43ad71545edc283c0692a072ad.jpg
2.0,0.0,Sud foire                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03e8cdb0062f2bcbe2de2721d50a3849/-/horizon-files-prod/ed/picture/q0g7p46j/abdcbd0c8ed7b4d77b4176e47157e5ae4b07af50.jpg
1.0,50.0,Avenue Bourguiba                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5898c4bcb1432d6cc37753e59cd212a6/-/horizon-files-prod/ed/picture/qv4wx6gg/892a0808c15117203f59e26b3df6652b661398e0.jpg
1.0,0.0,Almadies                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0d73181e1db186261bd07270b819f40/-/horizon-files-prod/ed/picture/q0gwq7rz/ddf6e4981184e00116ebe7ada43dbc12b0f292ba.jpg
0.0,0.0,Mermoz                                                                                Dakar,60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55d06ba75ed63066c67dfe16fb7999bf/-/horizon-files-prod/ed/picture/q78wr278/94a2d3a285c5f9a21bcbc7d48a19de3a0aa85a53.jpg
1.0,100.0,Hann maristes                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b93d9966e52a8873239b2a5df05c1ac8/-/horizon-files-prod/ed/picture/qzvp600r/c05f8839e4fad22dffce1ed900e08e740c203b05.jpg
