nombre_chambre,superficie,adresse,prix,image_lien
3.0,150.0,Virage                                                                                Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60e87821d5328f5c911b7755f9e6d34a/-/horizon-files-prod/ed/picture/qenvk57x/a53114d66faca02c65ce6ed697f9514ff4796cc4.jpg
3.0,0.0,Almadies                                                                                Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b88aaecb89ce5bb5b82bac4cd10d34e8/-/horizon-files-prod/ed/picture/q9mjrnm7/929a7c33d95901a16a3e3de5f25918b89ad92853.jpg
2.0,0.0,VDN                                                                                Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69c55e5fab02a8f5f3c67097807f9ce9/-/horizon-files-prod/ed/picture/qv4e5gpm/61fdec2aa97dadfe7570837706b0c3023d298fb4.jpg
3.0,0.0,Ouest foire                                                                                Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c41ea2a6d6d307b362f83d2e9c54c93d/-/horizon-files-prod/ed/picture/q8v57vxr/6bd8b27a9430fe23be2d8826e0e2fa75f3b843bd.jpg
2.0,0.0,Patte d‘oie                                                                                Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76228601f4198b517da569b9076ac251/-/horizon-files-prod/ed/picture/q0g70zd6/58271eda9c02b584854845148dc280411e803860.jpg
3.0,173.0,Point-e                                                                                Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbaf028e8c4d0c6ae78276beec28e74c/-/horizon-files-prod/ed/picture/qngp02ge/9cd98af929e2d2f0aa137dce1cfda1c7aba66fd2.jpg
2.0,135.0,Almadies                                                                                Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6a5b5fca2b0d12b1a7a32e7b99bc7193/-/horizon-files-prod/ed/picture/qj4r85rg/ee5f7fd2d11a8c0a1148a7b5c0badf67e6224065.jpg
3.0,150.0,Point-e                                                                                Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92e488af2be2984634b5e3942f4dceec/-/horizon-files-prod/ed/picture/q9mjjvpv/385ac51f8db39082bd66af125e019187fec7f13d.jpg
1.0,0.0,Zac Mbao                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/22ea079b8095e85cd48fbb477e2ba1a2/-/horizon-files-prod/ed/picture/qxjpm798/c15657dec0ab0ae203150cba589a2fe22bfd7a87.jpg
3.0,0.0,Liberte 1                                                                                Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e95f9c83b644ddc87e5a57a1987cb12/-/horizon-files-prod/ed/picture/qv4wj6vk/da52c7b9980fe55c644bb5c18053a0c42a950078.jpg
3.0,0.0,Sicap foire                                                                                Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a20be9b5981c42819e4b4c4af63fd8c/-/horizon-files-prod/ed/picture/q78w6k5e/787a3a7bc91a6c31a760624a41dcb42d8a3cb19a.jpg
3.0,150.0,Virage                                                                                Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60e87821d5328f5c911b7755f9e6d34a/-/horizon-files-prod/ed/picture/qenvk57x/a53114d66faca02c65ce6ed697f9514ff4796cc4.jpg
3.0,170.0,Derkle                                                                                Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/338e7d1d6b6dc1baa9d67a51bde2ea21/-/horizon-files-prod/ed/picture/q0g74q2m/7af127415f684811f5b1d6e301e3798138f4d64b.jpg
3.0,156.0,Sicap foire                                                                                Dakar,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51abfdf75920fa0c07e54a00d83d6962/-/horizon-files-prod/ed/picture/q2j0x4j2/1c76c56cb3828f6e09d4d09994122fbfadcd2ae3.jpg
2.0,0.0,Mamelles                                                                                Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/719ae46556977805eb2bee2a25185917/-/horizon-files-prod/ed/picture/qngpj9qv/5448c568a7b6afe0a16446ebe46fa191f3d62be9.jpg
3.0,350.0,Almadies                                                                                Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7ed016b5be356e013d67162023d3253/-/horizon-files-prod/ed/picture/qde7r5e7/e7ee192228f0c406635ed572cf18efd1f417bb4d.jpg
4.0,325.0,Almadies                                                                                Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c5b435e300338dbddb7ccb86dc4a580/-/horizon-files-prod/ed/picture/qenvkzn6/520753a89d3138ef7bc5b3f06626faf62ab29997.jpg
0.0,0.0,Cité keur gorgui                                                                                Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/912bd1c14cf774bc93747b1a71024d31/-/horizon-files-prod/ed/picture/q0g765pd/ca413a30575f649a1f918a887581e286b13bc1ce.jpg
1.0,75.0,Golf                                                                                Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82d330dddb86ed2c874e437e7a8b4cb0/-/horizon-files-prod/ed/picture/qgqwkn59/821cdee44da5f461864f52b74492e3f7d331c6f5.jpg
3.0,160.0,Zac Mbao                                                                                Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06d021cd95e75abf5fe04663235dc479/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qj4q08gz/d5a1b0144342482ad03308e1f5a11394439231a7.jpg
